LECROYWS44MXs-B 69584 Waveform
Segments 1 SegmentSize 1002
Segment TrigTime TimeSinceSegment1
#1 23-Jun-2015 22:28:35 0                 
Time Ampl
-5.17874e-008 1.65042
-5.15874e-008 1.65042
-5.13874e-008 1.6471
-5.11874e-008 1.6471
-5.09874e-008 1.65042
-5.07874e-008 1.64378
-5.05874e-008 1.6471
-5.03874e-008 1.65042
-5.01874e-008 1.65042
-4.99874e-008 1.65042
-4.97874e-008 1.6471
-4.95874e-008 1.6471
-4.93874e-008 1.6471
-4.91874e-008 1.64378
-4.89874e-008 1.6471
-4.87874e-008 1.65042
-4.85874e-008 1.6471
-4.83874e-008 1.6471
-4.81874e-008 1.6471
-4.79874e-008 1.6471
-4.77874e-008 1.65042
-4.75874e-008 1.65042
-4.73874e-008 1.65042
-4.71874e-008 1.65042
-4.69874e-008 1.6471
-4.67874e-008 1.6471
-4.65874e-008 1.65042
-4.63874e-008 1.65042
-4.61874e-008 1.65042
-4.59874e-008 1.65042
-4.57874e-008 1.6471
-4.55874e-008 1.64378
-4.53874e-008 1.65042
-4.51874e-008 1.6471
-4.49874e-008 1.65042
-4.47874e-008 1.64378
-4.45874e-008 1.6471
-4.43874e-008 1.64378
-4.41874e-008 1.6471
-4.39874e-008 1.64378
-4.37874e-008 1.65042
-4.35874e-008 1.65042
-4.33874e-008 1.65374
-4.31874e-008 1.65042
-4.29874e-008 1.65042
-4.27874e-008 1.6471
-4.25874e-008 1.65042
-4.23874e-008 1.6471
-4.21874e-008 1.65042
-4.19874e-008 1.65042
-4.17874e-008 1.6471
-4.15874e-008 1.64378
-4.13874e-008 1.64378
-4.11874e-008 1.64378
-4.09874e-008 1.6471
-4.07874e-008 1.64378
-4.05874e-008 1.6471
-4.03874e-008 1.6471
-4.01874e-008 1.6471
-3.99874e-008 1.64378
-3.97874e-008 1.6471
-3.95874e-008 1.65042
-3.93874e-008 1.64378
-3.91874e-008 1.6471
-3.89874e-008 1.65042
-3.87874e-008 1.6471
-3.85874e-008 1.65374
-3.83874e-008 1.65042
-3.81874e-008 1.65042
-3.79874e-008 1.6471
-3.77874e-008 1.64378
-3.75874e-008 1.6471
-3.73874e-008 1.65042
-3.71874e-008 1.65042
-3.69874e-008 1.65042
-3.67874e-008 1.65042
-3.65874e-008 1.6471
-3.63874e-008 1.64378
-3.61874e-008 1.64378
-3.59874e-008 1.65042
-3.57874e-008 1.6471
-3.55874e-008 1.64378
-3.53874e-008 1.65042
-3.51874e-008 1.6471
-3.49874e-008 1.65042
-3.47874e-008 1.65042
-3.45874e-008 1.6471
-3.43874e-008 1.6471
-3.41874e-008 1.6471
-3.39874e-008 1.64378
-3.37874e-008 1.65042
-3.35874e-008 1.6471
-3.33874e-008 1.6471
-3.31874e-008 1.65042
-3.29874e-008 1.6471
-3.27874e-008 1.65042
-3.25874e-008 1.65374
-3.23874e-008 1.6471
-3.21874e-008 1.65042
-3.19874e-008 1.6471
-3.17874e-008 1.65042
-3.15874e-008 1.65042
-3.13874e-008 1.65042
-3.11874e-008 1.6471
-3.09874e-008 1.6471
-3.07874e-008 1.6471
-3.05874e-008 1.6471
-3.03874e-008 1.64378
-3.01874e-008 1.6471
-2.99874e-008 1.65042
-2.97874e-008 1.6471
-2.95874e-008 1.64378
-2.93874e-008 1.65042
-2.91874e-008 1.6471
-2.89874e-008 1.6471
-2.87874e-008 1.6471
-2.85874e-008 1.6471
-2.83874e-008 1.6471
-2.81874e-008 1.65042
-2.79874e-008 1.65042
-2.77874e-008 1.6471
-2.75874e-008 1.65042
-2.73874e-008 1.65374
-2.71874e-008 1.6471
-2.69874e-008 1.6471
-2.67874e-008 1.6471
-2.65874e-008 1.65042
-2.63874e-008 1.6471
-2.61874e-008 1.6471
-2.59874e-008 1.64378
-2.57874e-008 1.6471
-2.55874e-008 1.6471
-2.53874e-008 1.6471
-2.51874e-008 1.65042
-2.49874e-008 1.65042
-2.47874e-008 1.65042
-2.45874e-008 1.65042
-2.43874e-008 1.6471
-2.41874e-008 1.65042
-2.39874e-008 1.64378
-2.37874e-008 1.65042
-2.35874e-008 1.64378
-2.33874e-008 1.65042
-2.31874e-008 1.6471
-2.29874e-008 1.65042
-2.27874e-008 1.65042
-2.25874e-008 1.65042
-2.23874e-008 1.65042
-2.21874e-008 1.6471
-2.19874e-008 1.65042
-2.17874e-008 1.65042
-2.15874e-008 1.6471
-2.13874e-008 1.6471
-2.11874e-008 1.6471
-2.09874e-008 1.64378
-2.07874e-008 1.65042
-2.05874e-008 1.65042
-2.03874e-008 1.6471
-2.01874e-008 1.65042
-1.99874e-008 1.65042
