LECROYWS44MXs-B 69584 Waveform
Segments 1 SegmentSize 1002
Segment TrigTime TimeSinceSegment1
#1 23-Jun-2015 19:19:31 0                 
Time Ampl
-5.16694e-008 1.6471
-5.14694e-008 1.65042
-5.12694e-008 1.65042
-5.10694e-008 1.6471
-5.08694e-008 1.65042
-5.06694e-008 1.64378
-5.04694e-008 1.64378
-5.02694e-008 1.6471
-5.00694e-008 1.6471
-4.98694e-008 1.65042
-4.96694e-008 1.6471
-4.94694e-008 1.64378
-4.92694e-008 1.6471
-4.90694e-008 1.6471
-4.88694e-008 1.6471
-4.86694e-008 1.6471
-4.84694e-008 1.65042
-4.82694e-008 1.6471
-4.80694e-008 1.65042
-4.78694e-008 1.6471
-4.76694e-008 1.65042
-4.74694e-008 1.64378
-4.72694e-008 1.6471
-4.70694e-008 1.6471
-4.68694e-008 1.65042
-4.66694e-008 1.6471
-4.64694e-008 1.6471
-4.62694e-008 1.64378
-4.60694e-008 1.65042
-4.58694e-008 1.6471
-4.56694e-008 1.64378
-4.54694e-008 1.64378
-4.52694e-008 1.6471
-4.50694e-008 1.6471
-4.48694e-008 1.6471
-4.46694e-008 1.6471
-4.44694e-008 1.6471
-4.42694e-008 1.64378
-4.40694e-008 1.64378
-4.38694e-008 1.64378
-4.36694e-008 1.6471
-4.34694e-008 1.64378
-4.32694e-008 1.64378
-4.30694e-008 1.64378
-4.28694e-008 1.64378
-4.26694e-008 1.64378
-4.24694e-008 1.6471
-4.22694e-008 1.64378
-4.20694e-008 1.6471
-4.18694e-008 1.65042
-4.16694e-008 1.6471
-4.14694e-008 1.6471
-4.12694e-008 1.65042
-4.10694e-008 1.64378
-4.08694e-008 1.6471
-4.06694e-008 1.6471
-4.04694e-008 1.6471
-4.02694e-008 1.6471
-4.00694e-008 1.65042
-3.98694e-008 1.64378
-3.96694e-008 1.6471
-3.94694e-008 1.64378
-3.92694e-008 1.65042
-3.90694e-008 1.64378
-3.88694e-008 1.65042
-3.86694e-008 1.65042
-3.84694e-008 1.65042
-3.82694e-008 1.65374
-3.80694e-008 1.65374
-3.78694e-008 1.6471
-3.76694e-008 1.65042
-3.74694e-008 1.6471
-3.72694e-008 1.65374
-3.70694e-008 1.65042
-3.68694e-008 1.65374
-3.66694e-008 1.6471
-3.64694e-008 1.65374
-3.62694e-008 1.6471
-3.60694e-008 1.65042
-3.58694e-008 1.6471
-3.56694e-008 1.65374
-3.54694e-008 1.65042
-3.52694e-008 1.6471
-3.50694e-008 1.6471
-3.48694e-008 1.6471
-3.46694e-008 1.65042
-3.44694e-008 1.65042
-3.42694e-008 1.65042
-3.40694e-008 1.65042
-3.38694e-008 1.6471
-3.36694e-008 1.65042
-3.34694e-008 1.65042
-3.32694e-008 1.65042
-3.30694e-008 1.65042
-3.28694e-008 1.65042
-3.26694e-008 1.6471
-3.24694e-008 1.65042
-3.22694e-008 1.6471
-3.20694e-008 1.65042
-3.18694e-008 1.6471
-3.16694e-008 1.6471
-3.14694e-008 1.6471
-3.12694e-008 1.6471
-3.10694e-008 1.6471
-3.08694e-008 1.65374
-3.06694e-008 1.64378
-3.04694e-008 1.6471
-3.02694e-008 1.6471
-3.00694e-008 1.6471
-2.98694e-008 1.6471
-2.96694e-008 1.65042
-2.94694e-008 1.6471
-2.92694e-008 1.65042
-2.90694e-008 1.64378
-2.88694e-008 1.65042
-2.86694e-008 1.64378
-2.84694e-008 1.65042
-2.82694e-008 1.64046
-2.80694e-008 1.65042
-2.78694e-008 1.65042
-2.76694e-008 1.6471
-2.74694e-008 1.64046
-2.72694e-008 1.6471
-2.70694e-008 1.6471
-2.68694e-008 1.6471
-2.66694e-008 1.6471
-2.64694e-008 1.6471
-2.62694e-008 1.6471
-2.60694e-008 1.65042
-2.58694e-008 1.64378
-2.56694e-008 1.6471
-2.54694e-008 1.6471
-2.52694e-008 1.6471
-2.50694e-008 1.64378
-2.48694e-008 1.65042
-2.46694e-008 1.6471
-2.44694e-008 1.65042
-2.42694e-008 1.64378
-2.40694e-008 1.6471
-2.38694e-008 1.6471
-2.36694e-008 1.6471
-2.34694e-008 1.6471
-2.32694e-008 1.65042
-2.30694e-008 1.64378
-2.28694e-008 1.65374
-2.26694e-008 1.6471
-2.24694e-008 1.65042
-2.22694e-008 1.6471
-2.20694e-008 1.65042
-2.18694e-008 1.65042
-2.16694e-008 1.65042
-2.14694e-008 1.65042
-2.12694e-008 1.65042
-2.10694e-008 1.64378
-2.08694e-008 1.6471
-2.06694e-008 1.6471
-2.04694e-008 1.6471
-2.02694e-008 1.65042
-2.00694e-008 1.65042
-1.98694e-008 1.6471
-1.96694e-008 1.6471
-1.94694e-008 1.64378
-1.92694e-008 1.6471
-1.90694e-008 1.6471
-1.88694e-008 1.6471
-1.86694e-008 1.6471
-1.84694e-008 1.65042
-1.82694e-008 1.6471
