LECROYWS44MXs-B 69584 Waveform
Segments 1 SegmentSize 1002
Segment TrigTime TimeSinceSegment1
#1 23-Jun-2015 21:56:50 0                 
Time Ampl
-5.17874e-008 1.6471
-5.15874e-008 1.64046
-5.13874e-008 1.64046
-5.11874e-008 1.63714
-5.09874e-008 1.64378
-5.07874e-008 1.64378
-5.05874e-008 1.6471
-5.03874e-008 1.65042
-5.01874e-008 1.65042
-4.99874e-008 1.65042
-4.97874e-008 1.65042
-4.95874e-008 1.65374
-4.93874e-008 1.65042
-4.91874e-008 1.65042
-4.89874e-008 1.65042
-4.87874e-008 1.6471
-4.85874e-008 1.6471
-4.83874e-008 1.65042
-4.81874e-008 1.6471
-4.79874e-008 1.6471
-4.77874e-008 1.6471
-4.75874e-008 1.64378
-4.73874e-008 1.6471
-4.71874e-008 1.63714
-4.69874e-008 1.6471
-4.67874e-008 1.64378
-4.65874e-008 1.64378
-4.63874e-008 1.64378
-4.61874e-008 1.65042
-4.59874e-008 1.64378
-4.57874e-008 1.65042
-4.55874e-008 1.6471
-4.53874e-008 1.65042
-4.51874e-008 1.6471
-4.49874e-008 1.6471
-4.47874e-008 1.65042
-4.45874e-008 1.65042
-4.43874e-008 1.6471
-4.41874e-008 1.6471
-4.39874e-008 1.6471
-4.37874e-008 1.65042
-4.35874e-008 1.6471
-4.33874e-008 1.6471
-4.31874e-008 1.65374
-4.29874e-008 1.6471
-4.27874e-008 1.65042
-4.25874e-008 1.65042
-4.23874e-008 1.6471
-4.21874e-008 1.6471
-4.19874e-008 1.64378
-4.17874e-008 1.6471
-4.15874e-008 1.64378
-4.13874e-008 1.6471
-4.11874e-008 1.64378
-4.09874e-008 1.6471
-4.07874e-008 1.65042
-4.05874e-008 1.65374
-4.03874e-008 1.6471
-4.01874e-008 1.6471
-3.99874e-008 1.65042
-3.97874e-008 1.65374
-3.95874e-008 1.65042
-3.93874e-008 1.65042
-3.91874e-008 1.6471
-3.89874e-008 1.64378
-3.87874e-008 1.64378
-3.85874e-008 1.6471
-3.83874e-008 1.64378
-3.81874e-008 1.64378
-3.79874e-008 1.64378
-3.77874e-008 1.6471
-3.75874e-008 1.64046
-3.73874e-008 1.6471
-3.71874e-008 1.64046
-3.69874e-008 1.64378
-3.67874e-008 1.64378
-3.65874e-008 1.64378
-3.63874e-008 1.64378
-3.61874e-008 1.65042
-3.59874e-008 1.6471
-3.57874e-008 1.6471
-3.55874e-008 1.6471
-3.53874e-008 1.65042
-3.51874e-008 1.64378
-3.49874e-008 1.6471
-3.47874e-008 1.64378
-3.45874e-008 1.6471
-3.43874e-008 1.64378
-3.41874e-008 1.64378
-3.39874e-008 1.64378
